year,nTrees,meanAge,meanHeight,temperature,precipitation
2025,10,1,0.7333899463102302,314.4231766999058,533.5437217732665
2025,10,1,0.758615323795334,314.4231766999058,533.5437217732665
2025,10,1,0.7435106778789199,314.4231766999058,533.5437217732665
2025,10,1,0.7383294012574316,314.4231766999058,533.5437217732665
2025,10,1,0.767224124344811,314.4231766999058,533.5437217732665
2025,10,1,0.7695805434516098,314.0280260535189,526.3180031367157
2025,10,1,0.7823858584813608,314.0280260535189,526.3180031367157
2025,10,1,0.773516675926666,314.0280260535189,526.3180031367157
2025,10,1,0.7761048429775882,314.0280260535189,526.3180031367157
2025,10,1,0.8157456355118344,312.8473589216116,546.5639063110981
2025,10,1,0.8039216360791751,312.8473589216116,546.5639063110981
2025,10,1,0.7980004530128891,312.8473589216116,546.5639063110981
2025,10,1,0.8383278241328709,312.8473589216116,546.5639063110981
2025,10,1,0.8039196922913134,312.8473589216116,546.5639063110981
2025,10,1,0.8289989717192282,311.59881879059765,474.0724529446744
2025,10,1,0.8421705913853534,311.59881879059765,474.0724529446744
2025,10,1,0.8430633820819758,311.59881879059765,474.0724529446744
2025,10,1,0.8393994259117253,311.59881879059765,474.0724529446744
2025,10,1,0.8729216106454573,310.7401959753946,632.440515192026
2025,10,1,0.874910011571951,310.7401959753946,632.440515192026
2025,10,1,0.8507013148794286,310.7401959753946,632.440515192026
2025,10,1,0.8779779737092637,310.7401959753946,632.440515192026
2025,10,1,0.8581025359453394,310.7401959753946,632.440515192026
2025,10,1,0.9028383203138901,310.03411748706117,537.7938834365076
2025,10,1,0.896602556440519,310.03411748706117,537.7938834365076
2025,10,1,0.8811247987903232,310.03411748706117,537.7938834365076
2025,10,1,0.9019314743880384,310.03411748706117,537.7938834365076
2025,10,1,0.9067469358079027,308.7933829116869,486.6536922160266
2025,10,1,0.8745747523500241,308.7933829116869,486.6536922160266
2025,10,1,0.8927021555885095,308.7933829116869,486.6536922160266
2025,10,1,0.8925315275954842,308.7933829116869,486.6536922160266
2025,10,1,0.8900082526425958,308.7933829116869,486.6536922160266
2025,10,1,0.9072622331627509,307.8281710377439,549.4242145676354
2025,10,1,0.9302779406639081,307.8281710377439,549.4242145676354
2025,10,1,0.9122814697637868,307.8281710377439,549.4242145676354
2025,10,1,0.9327274153747875,307.8281710377439,549.4242145676354
